Date,STATE,frequency
Apr 2010,Tennessee,453
Apr 2010,Texas,631
Apr 2010,Utah,42
Apr 2010,Virginia,251
Apr 2010,Washington,36
Apr 2010,West Virginia,307
Apr 2010,Wisconsin,482
Apr 2010,Wyoming,17
Apr 2011,Alabama,119
Apr 2011,Alaska,39
Apr 2011,Arizona,139
Apr 2011,Arkansas,274
Apr 2011,California,348
Apr 2011,Colorado,18
Apr 2011,Connecticut,63
Apr 2011,Florida,487
Apr 2011,Georgia,582
Apr 2011,Hawaii,28
Apr 2011,Idaho,3
Apr 2011,Illinois,35
Apr 2011,Indiana,7
Apr 2011,Iowa,155
Apr 2011,Kansas,16
Apr 2011,Kentucky,167
Apr 2011,Louisiana,28
Apr 2011,Maine,92
Apr 2011,Maryland,5
Apr 2011,Michigan,58
Apr 2011,Minnesota,392
Apr 2011,Mississippi,117
Apr 2011,Missouri,125
Apr 2011,Montana,25
Apr 2011,Nebraska,162
Apr 2011,Nevada,22
Apr 2011,New Jersey,48
Apr 2011,New Mexico,255
Apr 2011,New York,451
Apr 2011,North Carolina,543
Apr 2011,North Dakota,61
Apr 2011,Ohio,12
Apr 2011,Oklahoma,317
Apr 2011,Oregon,10
Apr 2011,Pennsylvania,21
Apr 2011,Puerto Rico,388
Apr 2011,Rhode Island,9
Apr 2011,South Carolina,212
Apr 2011,South Dakota,124
Apr 2011,Tennessee,144
Apr 2011,Texas,2080
Apr 2011,Utah,23
Apr 2011,Virginia,130
Apr 2011,Washington,27
Apr 2011,West Virginia,96
Apr 2011,Wisconsin,179
Apr 2011,Wyoming,22
Apr 2012,Alabama,157
Apr 2012,Alaska,19
Apr 2012,Arizona,137
Apr 2012,Arkansas,53
Apr 2012,California,277
Apr 2012,Colorado,65
Apr 2012,Connecticut,226
Apr 2012,Delaware,9
Apr 2012,District of Columbia,4
Apr 2012,Florida,463
Apr 2012,Georgia,565
Apr 2012,Hawaii,41
Apr 2012,Idaho,15
